Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1348646,"Onions, Cooking",37.18,1,22.7 KG,1,37.18
1311589,"Peppers, Choice Green",38.86,1,25.0 LB,1,38.86
1333033,"Sauce, Blue Cheese, Portion Cup",32.06,160,1.0 OZ,1,32.06
1333025,"Sauce, Ranch, Portion Cup",24.41,160,1.0 OZ,1,24.41
1294178,"Bacon, Canadian Style, Julienne Frozen",41.19,2,2.27 KG,2,82.38
1260931,"Bacon Pieces, Cooked, Frozen",93.93,4,1.36 KG,1,93.93
1267483,"Cheese, Diced Mozzarella, CDC3D",120.03,2,6.0 KG,3,360.09
1382216,"Cheese, Mozzarella String, Frozen",83.57,1,6.0 KG,1,83.57
1260870,"Cheese Blend, Shredded Three, 3",36.31,2,3.0 KG,1,36.31
1288202,"Chicken Breast Strips, Cooked, Frozen",64.16,2,5.0 LB,1,64.16
1503400,"Bags, Paper",70.72,1,250.0 UN,1,70.72
1502660,"Boxes, 12In Pizza, Custom",26.34,1,50.0 UN,2,52.68
1502656,"Boxes, 10In Kraft Pizza, Custom",21.22,1,50.0 UN,2,42.44
1362023,"Sauce, Barbeque",35.96,8,64.0 OZ,1,35.96
1277766,"Trays, Paper, Garlic Knot Cust Papa John",15.31,1,125.0 UN,1,15.31
