Item Number,Item Description,Price (Case/Unit),Pack,Size,Quantity Shipped,Price (Extended)
1311589,"Peppers, Choice Green",38.86,1,25.0 LB,1,38.86
1325719,"Sauce, Garlic, Cup",25.58,160,1.0 OZ,4,102.32
1294178,"Bacon, Canadian Style, Julienne Frozen",41.19,2,2.27 KG,1,41.19
1267483,"Cheese, Diced Mozzarella, CDC3D",120.03,2,6.0 KG,3,360.09
1288202,"Chicken Breast Strips, Cooked, Frozen",64.16,2,5.0 LB,3,192.48
1488066,"Chicken Wings, Seasoned, Cooked, Frozen",95.93,4,2.0 KG,2,191.86
1303887,"Pastries, Cinnamon Twist, Pull Apart",60.06,16,0.37 KG,1,60.06
1380913,"Sauce, Alfredo, Frozen",21.33,3,2.0 LB,1,21.33
1502660,"Boxes, 12In Pizza, Custom",26.34,1,50.0 UN,2,52.68
1502656,"Boxes, 10In Kraft Pizza, Custom",21.22,1,50.0 UN,2,42.44
1503394,"Peppers, Sliced Jalapeno",38.53,8,80.0 OZ,1,38.53
1362021,"Sauce, Buffalo",21.79,8,24.0 OZ,1,21.79
1150622,"Sauce, Creamy Garlic Dipping, Portion Cup",54.87,100,44.0 ML,1,54.87
1260051,"Pizza Sauce, Fully Seasoned",53.98,6,100.0 OZ,3,161.94
1277766,"Trays, Paper, Garlic Knot Cust Papa John",15.53,1,125.0 UN,1,15.53
