Item Number,Item Description,22/01/2025,23/01/2025,25/01/2025,27/01/2025,30/01/2025,01/02/2025,05/02/2025,08/02/2025,12/02/2025,15/02/2025,19/02/2025,22/02/2025,26/02/2025,01/03/2025,05/03/2025,08/03/2025,12/03/2025,15/03/2025,19/03/2025,22/03/2025,26/03/2025,31/03/2025,02/04/2025,05/04/2025,09/04/2025,12/04/2025,16/04/2025,19/04/2025,26/04/2025,30/04/2025,03/05/2025
"2364005","Anchovy Fillets, Flat, In Oil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53.82"
"1260931","Bacon Pieces, Cooked, Frozen",,"102.88",,,"93.93","93.93",,"93.93","93.93","93.93",,"93.93",,,,,"102.08","102.08",,"102.08","102.08","102.08",,"110.37",,"110.37",,"110.37","110.37","105.13","105.13"
"1294178","Bacon, Canadian Style, Julienne Frozen",,,,"41.19",,"41.19",,"41.19",,"41.19","41.19",,"41.19","41.19",,,,"41.19",,"41.19","41.19",,"41.1","41.1","41.1",,"41.1","41.1","41.1","41.1","41.1"
"1503385","Bags, Dessert",,,"36.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7015888","Bags, Extra Strong Value Plus Garbage, 42X48In",,,,,,,,,,,,,,,"33.36",,,,,,,"33.36",,,,,"33.36",,,,
"1503400","Bags, Paper",,,,,,,,"70.72",,,,,,,,,,,,,,,,,,,,,,,
"1436537","Beef Crumbles, Cooked, Sausage Crumble Frozen",,"49.97",,,"49.97",,,,,,,,,,"49.97","49.97",,,,,,"49.97",,,,,,,,,
"1399323","Beef Steaks, 4oz Sliced Seasoned Philly, Cooked, Frozen",,,,,,,"89.81",,,"89.81",,,,,,,,,,,,,,,,,,,,,
"1503250","Beef Steaks, Sliced Seasoned Philly, Cooked, Frozen",,,,,,,,,,,,,"89.81",,,"89.81","89.81",,,,,,,"96.76",,"96.76","96.76",,,,
"1504800","BOX PIZZA KR 10IN BILINGUAL",,,,,,,,,"21.38",,,,,,,,,,,,,,,,,,,,,,
"1504801","BOX PIZZA KR 16IN BILINGUAL",,,,,,,,,"38.71",,,,,,,,,,,,,,,,,,,,,,
"1502656","Boxes, 10In Kraft Pizza, Custom",,"21.22",,"21.22",,,"21.22","21.22","21.22","21.22","21.22","21.22","21.22","21.22","21.57","21.57","21.57","21.57",,"21.57","21.57","21.57","21.57","23.2","23.2","23.2",,"23.2","23.2","23.2","23.2"
"1502660","Boxes, 12In Pizza, Custom",,"26.34",,"26.34","26.34",,"26.34","26.34","26.34","26.34","26.34","26.34","26.34","26.34","26.78","26.78","26.78","26.78","26.78","26.78","26.78",,"26.78","28.95","28.95",,"28.95","28.95","28.95","28.95",
"1502661","Boxes, 14In Pizza, Custom",,"28.34",,,"28.34",,"28.34",,"28.34","28.34","28.34","28.34","28.34","28.34","28.98",,"28.98","28.98","28.98","28.98","28.98","28.98","28.98","31.36","31.36","31.36","31.36","31.36","31.36","31.36","31.36"
"1502655","Boxes, 16In Kraft Pizza, Custom",,,,,,,,,,,,,,"38.65","39.49",,"39.49",,,"39.49","39.49",,"39.49","42.97",,"42.97","42.97","42.97","42.97",,"42.97"
"1502659","Boxes, 6.5In Pizza, Custom",,"29.91",,,,,,,,,,,,,,,"30.29","30.29",,,"30.29",,,"32.85",,,,,,,"32.85"
"1502654","Boxes, 8In Kraft Pizza, Custom",,"20.57",,,,,"20.57",,"20.57","20.57","20.57",,,,"20.85","20.85","20.85","20.85",,,"20.85",,"20.85","22.41",,"22.41",,"22.41","22.41",,"22.41"
"1277753","Boxes, Pizza Slice, Custom",,"102.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1277827","Brownies, Brownie, Frozen",,,,,,,,,"67.92",,,"67.92",,"67.83",,"67.83",,,,,,,,"68.03","68.03",,,,"68.03",,
"1502653","Cartons, Papadia, Custom",,"26.66",,,,,"26.66",,,"26.66","26.66",,,"26.66",,,,,,"26.66","26.66",,,,,,"28.87",,"28.87",,
"1260871","Cheese Blend, Shredded Parmesan, 50/50",,"39.23",,"39.23",,,"39.23",,"38.13","38.13",,"39.42","39.42",,,,"39.42",,,"39.42",,"39.42",,"39.42",,,,"39.42","39.42",,"39.42"
"1260870","Cheese Blend, Shredded Three, 3",,"91.97",,,,,"91.97","36.31","36.31",,"92.44",,,"92.44",,"92.44","92.44",,,"92.44","92.44",,,"92.44",,,"92.44","92.44",,"92.44",
"1354946","Cheese, Crumbled Feta",,"56.72",,,,,,,,,,,"56.72",,,,,,,,,,,"57.42",,"57.42",,,,,
